id,created_at,model,price_per_token,provider
1,2025-01-01T00:00:00Z,gpt-4o,0.000005,openai
2,2025-01-01T00:00:00Z,gpt-4o-mini,0.00000015,openai
3,2025-01-01T00:00:00Z,gpt-4-turbo,0.00001,openai
4,2025-01-01T00:00:00Z,gpt-4,0.00003,openai
5,2025-01-01T00:00:00Z,gpt-3.5-turbo,0.0000005,openai
6,2025-01-01T00:00:00Z,o1-preview,0.000015,openai
7,2025-01-01T00:00:00Z,o1-mini,0.000003,openai

8,2025-01-01T00:00:00Z,claude-3-opus-20240229,0.000015,anthropic
9,2025-01-01T00:00:00Z,claude-3-sonnet-20240229,0.000003,anthropic
10,2025-01-01T00:00:00Z,claude-3-haiku-20240307,0.00000025,anthropic
11,2025-01-01T00:00:00Z,claude-3.5-sonnet,0.000003,anthropic

12,2025-01-01T00:00:00Z,gemini-1.5-pro,0.0000035,google
13,2025-01-01T00:00:00Z,gemini-1.5-flash,0.00000035,google
14,2025-01-01T00:00:00Z,gemini-1.0-pro,0.0000005,google

15,2025-01-01T00:00:00Z,deepseek-chat,0.00000014,deepseek
16,2025-01-01T00:00:00Z,deepseek-coder,0.00000014,deepseek
17,2025-01-01T00:00:00Z,deepseek-v2,0.00000027,deepseek
